HIMCP;Химпром ап;-;0 %;-;-;-;-;-;09:59:53
GMKN;ГМКНорНик;-;0 %;-;-;-;-;-;09:59:54
GEMA;iММЦБ ао;-;0 %;-;-;-;-;-;09:59:38
GECO;iГЕНЕТИКО;-;0 %;-;-;-;-;-;09:59:47
GAZT;ГАЗ-Тек ао;-;0 %;-;-;-;-;-;09:50:02
GAZS;ГАЗ-сервис;-;0 %;-;-;-;-;-;09:50:02
GAZC;ГАЗКОН-ао;-;0 %;-;-;-;-;-;09:50:02
ELFV;ЭЛ5Энер ао;-;0 %;-;-;-;-;-;09:59:54
DZRD;ДонскЗР;-;0 %;-;-;-;-;-;09:59:46
DIAS;iДиасофт;-;0 %;-;-;-;-;-;09:59:53
CNTL;Телеграф;-;0 %;-;-;-;-;-;09:59:29
CHMK;ЧМК ао;-;0 %;-;-;-;-;-;09:59:31
CHKZ;ЧКПЗ ао;-;0 %;-;-;-;-;-;09:59:51
BLNG;Белон ао;-;0 %;-;-;-;-;-;09:59:47
BISVP;БашИнСв ап;-;0 %;-;-;-;-;-;09:59:52
BELU;НоваБев ао;-;0 %;-;-;-;-;-;09:59:54
BANEP;Башнефт ап;-;0 %;-;-;-;-;-;09:59:53
AVAN;Авангрд-ао;-;0 %;-;-;-;-;-;09:59:32
ASTR;Астра ао;-;0 %;-;-;-;-;-;09:59:53
ASSB;АстрЭнСб;-;0 %;-;-;-;-;-;09:59:37
ARSA;Арсагера;-;0 %;-;-;-;-;-;09:59:45
AMEZ;АшинскийМЗ;-;0 %;-;-;-;-;-;09:59:38
ACKO;АСКО ао;-;0 %;-;-;-;-;-;09:50:02
